category,Brand,title,price,original-price,id,f-Assured,Free delivery,Special Offer,Sorted by,start_url
tshirt,SKYBEN,Printed Men Round Neck Dark Blue T-Shirt,103,899,TSHFMG3MGGZ7HUHT,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Komfy,"Typography Men Round Neck White, Blue T-Shirt",103,799,TSHGEDZBYTHQ7NGM,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Rebound,Color Block Women Round Neck Yellow T-Shirt,179,999,TSHFUTKNRGHT3PME,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Roadster,Solid Women Round Neck Yellow T-Shirt,119,399,TSHFUG9RRYUWHMCW,f_Assured,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,SHARKTRIBE,Graphic Print Women Round Neck White T-Shirt,104,499,TSHFCQGXPKBHGACN,f_Assured,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Altiven,Printed Women Round Neck Multicolor T-Shirt,100,499,TSHG9HHWVRJNFXBY,,,Deal of the Day,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Nitrite Sportswear,Solid Women Round Neck White T-Shirt,104,149,TSHFXSGHFFKGHJ2A,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Nitrite Sportswear,Solid Women Round Neck Blue T-Shirt,104,149,TSHFXSGGJ8NYEFWN,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,IESHNE LIFESTYLE,"Solid Couple Hooded Neck Dark Blue, Light Blue T-Shirt",242,"1,199",TSHFYVXUUBKQGKQS,f_Assured,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,FUNKY GUYS,Solid Men Round Neck Orange T-Shirt,104,499,TSHFCSK4B2HZR49V,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
jeans,mahammad,Regular Men Black Jeans,136,250,JEAGB7H8EBZPPTNM,,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,A.LISON,Super Skinny Men Light Green Jeans,199,799,JEAG9T7BGM2J9NKF,,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,PRIHUU FASHION,Jogger Fit Men Dark Blue Jeans,215,975,JEAGEH7YXYWAZHNG,,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,DONG,Regular Men Black Jeans,246,599,JEAGDQKM3HFKMWCG,,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,Rai ox,Slim Men Black Jeans,270,999,JEAGDYFUPVSYAVKY,,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,Kcoy,Slim Men Black Jeans,274,799,JEAGE498DXYCZWR3,,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
